IP Address,Name,,Headquarters of my organisation,,web,Type of organisation (multiple answers are possible),,,,,,"Is your organisation a migrant/diaspora organisation or led by a migrant or diaspora member? (For this survey, 'diaspora' means either you or at least one of your parents or grandparents are or were migrants)?",What is your organisation's main level of intervention? ,lon,lat
?,Open-Ended Response,Country of Residence,City:,Country:,Open-Ended Response,trade union,development organisation,academia,human rights organisation,private sector,Other (please specify),Response,Response,,
188.155.43.183,MIGRAF,Suisse,Geneve,,,,development organisation,,,,,Yes,Local/National,46.198392,6.142296
81.203.59.240,ASOCIACION PORTIMUJER,España,Valencia,España,http://www.asociacionportimujer.org/,,development organisation,,human rights organisation,,Mujer Migrante,Yes,Regional,39.469908,-0.376288
203188249122,INAFI Asia and INAFI Bangladesh,Bangladesh,Dakar,Senegal,www.inafiasia.net,,development organisation,,,,,No,Regional,14.764504,-17.366029
202.70.70.54,Youth Advocacy Nepal(YAN),Nepal,Kathmandu,Nepal,Www.yan.org.np,,,,human rights organisation,,,No,Regional,27.7,85.333333
103.230.107.27,Bangladesh NGOs Network for Radio & Communication,Bangladesh,Dhaka,Bangladesh,www.bnnrc.net,,development organisation,,,,Community Media,No,Local/National,23.810332,90.412518
85237234139,Society Development Institute,Slovakia,Bratislava,Slovakia,www.sdisk.eu www.comide.eu,,development organisation,,human rights organisation,,,Yes,International,48.145892,17.107137
46.14.11.163,Istituto Internazionale Maria Ausiliatrice - IIMA,SWITZERLAND,ROME,ITALY,CGFMANET.ORG - English blog: http://iimahumanrights.blogspot.com/,,,,human rights organisation,,,No,International,41.872389,12.48018
90.197.55.220,Markets4Development Ltd,United Kingdom,London,United Kingdom,www.markets4development.co.uk,,,,,private sector,Social Enterprise,Yes,International,51.507351,-0.127758
41.86.178.144,CENTRE FOR THE STUDY OF FORCED MIGRATION,TANZANIA,DAR ES SALAAM,TANZANIA,,,,academia,human rights organisation,,,Yes,International,-6.8,39.283333
181.48.125.12,Corporación Anne Frank Colombia,Colombia,Bogotá,Colombia,http://corporacionannefrank.blogspot.com/,,development organisation,,human rights organisation,,,Yes,Local/National,4.598056,-74.075833
108.206.29.48,ADAP-INTERNATIONAL/USA,United States,Houston,USA,www.adap-international.org,,development organisation,,,,,Yes,International,29.760427,-95.369803
49.244.40.197,INHURED International,Nepal,Lalitpur,Nepal,www.inhuredinternational.org,,,,human rights organisation,,,No,Regional,27.666667,85.316667
172.56.17.98,CBO COMUNITARIAS INC.,USA,Los Ángeles,USA.,www.cbousa.org,,development organisation,,,,,Yes,International,34.052234,-118.243685
27147128194,BRAC,Bangladesh,Dhaka,Bangladesh,www.brac.net,,development organisation,,,,,Yes,Local/National,23.810332,90.412518
41188125191,Centre Guide pour la Migration CGTM,Mauritanie,Nouakchott,Mauritanie,www.cgtm.org,trade union,,,,,,Yes,Local/National,18.1,-15.95
41.189.52.127,FRATERNITE SOLIDARITE JEUNESSE COTE D'IVOIRE,COTE D'IVOIRE,abidjan,cote D'Ivoire,www.fsjci.org,,development organisation,,human rights organisation,,,Yes,Regional,5.316667,-4.033333
46.44.183.98,TRANSCODE Programme,Netherlands,Utrecht,Netherlands,www.transcodeprogramme.org,,development organisation,academia,,,multistakeholders network on migration and development,Yes,International,52.090737,5.12142
83254138117,Somalia International Rehabilitation  Centre (SIRC),Sweden,Lund,Sweden,www.sirclund.se,,development organisation,academia,human rights organisation,,"Peace, Security and development focus",Yes,International,55.70466,13.191007
178194181237,CO-HABITER,Switzerland,Lausanne,Switzerland,www.co-habiter.ch,,development organisation,,human rights organisation,,,Yes,International,46.519962,6.633597
91.183.58.213,SOLIDAR,Belgium,Brussels,,www.solidar.org,,,,,,European Network,No,Local/National,50.85034,4.35171
41.137.57.146,CONSEIL DES MIGRANTS SUBSAHARIENS AU MAROC,ROYAUME DU MAROC,RABAT,ROYAUME DU MAROC,,,,,human rights organisation,,,Yes,Regional,33.959472,-6.870032
62.45.168.72,Habagat Foundation,The Netherlands,Utrecht,The Netherlands,,,development organisation,,human rights organisation,,,Yes,International,52.090737,5.12142
31.47.93.168,Tour Operation et Initiatives Ecosoc,DEMOCRARTIC REPUBLIC OF CONGO,KINSHASA,DEMOCRATIC REPUBLIC OF CONGO,,trade union,development organisation,academia,human rights organisation,private sector,,No,Local/National,-4.331667,15.313889
201141192106,Cambia la historia,Mexico,Mexico City,Mexico,www.cambialahistoria.org.mx,,,,human rights organisation,,,No,Local/National,19.432608,-99.133208
86.46.210.55,"Presentation Sisters, Northern Province, Ireland",Ireland,Athllone,Ireland,presentationsistersunion.org,,development organisation,,,,,No,International,53.423933,-7.94069
190.56.249.90,Instituto Centroamericano de Estudios Sociales y Desarrollo INCEDES,Guatemala,Guatemala,Guatemala,www.incedes.org.gt,,development organisation,academia,,private sector,,No,Regional,14.613333,-90.535278
84.241.193.22,Fonds pour l avancement des droits humains des femmes d'Afrique Francophone (FADHAF).,Netherlands,Amsterdam,Netherlands,www . francophonefund.org,,,,human rights organisation,,,Yes,International,52.370216,4.895168
103.230.105.21,Bangladesh NGOs Network for Radio & Communication,Bangladesh,Dhaka,Bangladesh,www.bnnrc.net,,development organisation,,,,Community Broadcasting,No,Local/National,23.810332,90.412518
50.40.252.204,Club Migrante Cheran Southern Illinois/St. Louis,US,"Murphysboro, Illinois",US,,,,,human rights organisation,,,Yes,International,37.764495,-89.335089
